/.                    (Status: 301) [Size: 191] [--> http://10.10.10.69/./]
/sync                 (Status: 200) [Size: 19]
/sync.php             (Status: 200) [Size: 19]
/synchro              (Status: 200) [Size: 19]
/synchro.php          (Status: 200) [Size: 19]
/sync_session         (Status: 200) [Size: 19]
/sync_menu            (Status: 200) [Size: 19]
/synchronize          (Status: 200) [Size: 19]
/synchronize_db       (Status: 200) [Size: 19]
/syncml.php           (Status: 200) [Size: 19]
/syncworks            (Status: 200) [Size: 19]
/sync_session.php     (Status: 200) [Size: 19]
/sync_menu.php        (Status: 200) [Size: 19]
/synchronize.php      (Status: 200) [Size: 19]
/synchronize_db.php   (Status: 200) [Size: 19]
/syncml               (Status: 200) [Size: 19]
/syncworks.php        (Status: 200) [Size: 19]
